layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mv2_5a.pw_expand,Sequential,-0.27846,546.75067,546.75067,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.dw_conv.0,Conv2d,-748.88721,515.11682,748.88721,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.dw_conv.1,BatchNorm2d,-681.90326,816.73145,816.73145,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.dw_conv.2,SiLU,-0.27846,816.73145,816.73145,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.dw_conv,Sequential,-0.27846,816.73145,816.73145,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.pw_project.0,Conv2d,-853.08136,894.52063,894.52063,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.pw_project.1,BatchNorm2d,-519.78546,551.7677,551.7677,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a.pw_project,Sequential,-519.78546,551.7677,551.7677,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mv2_5a,MV2,-519.78546,551.7677,551.7677,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_5b.local_rep.conv1,Conv2d,-3803.02881,3704.31396,3803.02881,13,19,1.9073486328125e-06,4096.0,False,Q12.19,32
mvit_5b.local_rep.bn1,BatchNorm2d,-1376.88086,1120.09167,1376.88086,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.local_rep.act1,SiLU,-0.27846,1120.09167,1120.09167,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.local_rep.conv2,Conv2d,-1584.61951,1823.72534,1823.72534,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.local_rep,LocalRepresentation,-1584.61951,1823.72534,1823.72534,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.transformers.0.norm1,LayerNorm,-0.98461,1.00908,1.00908,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_5b.transformers.0.attn,MultiheadAttention,-2.43099,2.02411,2.43099,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.0.norm2,LayerNorm,-3.23278,2.32053,3.23278,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.0.fc1,Linear,-8.7533,2.82632,8.7533,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_5b.transformers.0.act,SiLU,-0.27846,2.66828,2.66828,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.0.fc2,Linear,-1.52658,3.61599,3.61599,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.0,TransformerEncoder,-1481.61157,1779.82104,1779.82104,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.transformers.1.norm1,LayerNorm,-1.39002,1.44854,1.44854,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_5b.transformers.1.attn,MultiheadAttention,-4.64207,2.53222,4.64207,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.transformers.1.norm2,LayerNorm,-3.10596,2.95975,3.10596,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.1.fc1,Linear,-12.70697,4.16348,12.70697,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_5b.transformers.1.act,SiLU,-0.27846,4.09972,4.09972,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.transformers.1.fc2,Linear,-5.0313,4.81124,5.0313,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.transformers.1,TransformerEncoder,-1479.80896,1776.24084,1776.24084,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.transformers.2.norm1,LayerNorm,-1.68167,1.6209,1.68167,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_5b.transformers.2.attn,MultiheadAttention,-9.97004,4.1554,9.97004,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_5b.transformers.2.norm2,LayerNorm,-2.9583,2.83187,2.9583,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.transformers.2.fc1,Linear,-10.45377,6.99794,10.45377,5,27,7.450580596923828e-09,16.0,False,Q4.27,32
mvit_5b.transformers.2.act,SiLU,-0.27846,6.99155,6.99155,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.transformers.2.fc2,Linear,-13.63876,17.07551,17.07551,6,26,1.4901161193847656e-08,32.0,False,Q5.26,32
mvit_5b.transformers.2,TransformerEncoder,-1479.3064,1773.80005,1773.80005,12,20,9.5367431640625e-07,2048.0,False,Q11.20,32
mvit_5b.norm,LayerNorm,-1.34848,1.2414,1.34848,2,30,9.313225746154785e-10,2.0,False,Q1.30,32
mvit_5b.fusion.conv1,Conv2d,-2.61323,1.59422,2.61323,3,29,1.862645149230957e-09,4.0,False,Q2.29,32
mvit_5b.fusion.bn1,BatchNorm2d,-4.10841,6.19073,6.19073,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.fusion.act1,SiLU,-0.27846,6.17808,6.17808,4,28,3.725290298461914e-09,8.0,False,Q3.28,32
mvit_5b.fusion.conv2,Conv2d,-3895.07349,3285.49292,3895.07349,13,19,1.9073486328125e-06,4096.0,False,Q12.19,32
mvit_5b.fusion.bn2,BatchNorm2d,-741.95288,516.95465,741.95288,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_5b.fusion.act2,SiLU,-0.27846,516.95465,516.95465,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_5b.fusion,Fusion,-0.27846,516.95465,516.95465,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
mvit_5b,MobileViTBlock,-0.27846,516.95465,516.95465,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
head_conv.0,Conv2d,-816.4165,504.785,816.4165,11,21,4.76837158203125e-07,1024.0,False,Q10.21,32
head_conv.1,BatchNorm2d,-5697.38281,3376.45874,5697.38281,14,18,3.814697265625e-06,8192.0,False,Q13.18,32
head_conv.2,SiLU,-0.27846,3376.45874,3376.45874,13,19,1.9073486328125e-06,4096.0,False,Q12.19,32
head_conv,Sequential,-0.27846,3376.45874,3376.45874,13,19,1.9073486328125e-06,4096.0,False,Q12.19,32
pool,AdaptiveAvgPool2d,-0.10608,2175.9353,2175.9353,13,19,1.9073486328125e-06,4096.0,False,Q12.19,32
classifier,Linear,-15254.69238,3761.86377,15254.69238,15,17,7.62939453125e-06,16383.99999,False,Q14.17,32
