layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.4.downsampling_layer,MobileViTInvertedResidual,-2.89664,2.24316,2.89664,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.conv_kxk.convolution,Conv2d,-10.38229,14.85386,14.85386,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.conv_kxk.normalization,BatchNorm2d,-3.51446,5.17918,5.17918,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.conv_kxk.activation,SiLUActivation,-0.27846,5.15017,5.15017,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.conv_kxk,MobileViTConvLayer,-0.27846,5.15017,5.15017,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.conv_1x1.convolution,Conv2d,-8.34725,6.24492,8.34725,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.conv_1x1,MobileViTConvLayer,-8.34725,6.24492,8.34725,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.0.layernorm_before,LayerNorm,-1.14444,1.12105,1.14444,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.attention.query,Linear,-6.11361,5.25049,6.11361,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.attention.key,Linear,-4.94265,5.11997,5.11997,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.attention.value,Linear,-1.54524,1.56089,1.56089,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.attention.dropout,Dropout,1e-05,0.98833,0.98833,1,15,3.0517578125e-05,0.99997,False,Q0.15,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.attention,MobileViTSelfAttention,-1.1542,1.23185,1.23185,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.output.dense,Linear,-2.8684,2.42286,2.8684,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.output.dropout,Dropout,-2.8684,2.42286,2.8684,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.0.attention.output,MobileViTSelfOutput,-2.8684,2.42286,2.8684,3,13,0.0001220703125,3.99988,False,Q2.13,16
